person_number,year,walk
A00163,3,NotAttend
A00163,4,NotAttend
A00163,5,NotAttend
A00164,1,NotAttend
A00164,2,NotAttend
A00164,3,NotAttend
A00164,4,NotAttend
A00164,5,NotAttend
A00165,1,NotAttend
A00165,2,NotAttend
A00165,3,attend
A00165,4,NotAttend
A00165,5,NotAttend
A00166,1,attend
A00166,2,NotAttend
A00166,3,NotAttend
A00166,4,attend
A00166,5,NotAttend
A00167,1,NotAttend
A00167,2,NotAttend
A00167,3,NotAttend
A00167,4,NotAttend
A00167,5,attend
A00168,1,NotAttend
A00168,2,NotAttend
A00168,3,NotAttend
A00168,4,NotAttend
A00168,5,NotAttend
A00169,1,NotAttend
A00169,2,NotAttend
A00169,3,NotAttend
A00169,4,NotAttend
A00169,5,NotAttend
A00170,1,NotAttend
A00170,2,NotAttend
A00170,3,NotAttend
A00170,4,NotAttend
A00170,5,NotAttend
A00171,1,NotAttend
A00171,2,NotAttend
A00171,3,NotAttend
A00171,4,NotAttend
A00171,5,NotAttend
A00172,1,NotAttend
A00172,2,NotAttend
A00172,3,NotAttend
A00172,4,NotAttend
A00172,5,NotAttend
A00173,1,NotAttend
A00173,2,NotAttend
A00173,3,NotAttend
A00173,4,NotAttend
A00173,5,NotAttend
A00174,1,attend
A00174,2,NotAttend
A00174,3,NotAttend
A00174,4,NotAttend
A00174,5,NotAttend
A00175,1,NotAttend
A00175,2,NotAttend
A00175,3,NotAttend
A00175,4,NotAttend
A00175,5,attend
A00176,1,NotAttend
A00176,2,NotAttend
A00176,3,NotAttend
A00176,4,NotAttend
A00176,5,NotAttend
A00177,1,NotAttend
A00177,2,NotAttend
A00177,3,NotAttend
A00177,4,NotAttend
A00177,5,NotAttend
A00178,1,NotAttend
A00178,2,NotAttend
A00178,3,attend
A00178,4,NotAttend
A00178,5,NotAttend
A00179,1,NotAttend
A00179,2,NotAttend
A00179,3,attend
A00179,4,NotAttend
A00179,5,NotAttend
A00180,1,NotAttend
A00180,2,NotAttend
A00180,3,attend
A00180,4,NotAttend
A00180,5,NotAttend
A00181,1,NotAttend
A00181,2,attend
A00181,3,NotAttend
A00181,4,NotAttend
A00181,5,NotAttend
A00182,1,NotAttend
A00182,2,NotAttend
A00182,3,NotAttend
A00182,4,NotAttend
A00182,5,NotAttend
A00183,1,NotAttend
A00183,2,NotAttend
A00183,3,NotAttend
A00183,4,attend
A00183,5,NotAttend
A00184,1,attend
A00184,2,NotAttend
A00184,3,NotAttend
A00184,4,NotAttend
A00184,5,NotAttend
A00185,1,NotAttend
A00185,2,NotAttend
A00185,3,NotAttend
A00185,4,NotAttend
A00185,5,NotAttend
A00186,1,NotAttend
A00186,2,NotAttend
A00186,3,NotAttend
A00186,4,NotAttend
A00186,5,NotAttend
A00187,1,NotAttend
A00187,2,NotAttend
A00187,3,NotAttend
A00187,4,NotAttend
A00187,5,NotAttend
A00188,1,NotAttend
A00188,2,NotAttend
A00188,3,NotAttend
A00188,4,attend
A00188,5,NotAttend
A00189,1,NotAttend
A00189,2,NotAttend
A00189,3,NotAttend
A00189,4,attend
A00189,5,NotAttend
A00190,1,NotAttend
A00190,2,NotAttend
A00190,3,NotAttend
A00190,4,NotAttend
A00190,5,attend
A00191,1,NotAttend
A00191,2,NotAttend
A00191,3,NotAttend
A00191,4,attend
A00191,5,NotAttend
A00192,1,NotAttend
A00192,2,NotAttend
A00192,3,NotAttend
A00192,4,NotAttend
A00192,5,attend
A00193,1,NotAttend
A00193,2,NotAttend
A00193,3,NotAttend
A00193,4,NotAttend
A00193,5,NotAttend
A00194,1,NotAttend
A00194,2,NotAttend
A00194,3,NotAttend
A00194,4,NotAttend
A00194,5,NotAttend
A00195,1,NotAttend
A00195,2,NotAttend
A00195,3,NotAttend
A00195,4,NotAttend
A00195,5,NotAttend
A00196,1,NotAttend
A00196,2,attend
A00196,3,NotAttend
A00196,4,NotAttend
A00196,5,NotAttend
A00197,1,NotAttend
A00197,2,NotAttend
A00197,3,NotAttend
A00197,4,NotAttend
A00197,5,NotAttend
A00198,1,attend
A00198,2,NotAttend
A00198,3,NotAttend
A00198,4,NotAttend
A00198,5,NotAttend
A00199,1,attend
A00199,2,attend
A00199,3,NotAttend
A00199,4,NotAttend
A00199,5,NotAttend
A00200,1,NotAttend
A00200,2,NotAttend
A00200,3,attend
A00200,4,NotAttend
A00200,5,NotAttend
A00201,1,NotAttend
A00201,2,NotAttend
A00201,3,attend
A00201,4,attend
A00201,5,NotAttend
A00202,1,NotAttend
A00202,2,attend
A00202,3,NotAttend
A00202,4,NotAttend
A00202,5,attend
A00203,1,NotAttend
A00203,2,NotAttend
A00203,3,NotAttend
A00203,4,NotAttend
A00203,5,NotAttend
A00204,1,NotAttend
A00204,2,NotAttend
A00204,3,NotAttend
A00204,4,NotAttend
A00204,5,NotAttend
A00205,1,NotAttend
A00205,2,attend
A00205,3,NotAttend
A00205,4,attend
A00205,5,NotAttend
A00206,1,NotAttend
A00206,2,NotAttend
A00206,3,NotAttend
A00206,4,attend
A00206,5,NotAttend
A00207,1,NotAttend
A00207,2,NotAttend
A00207,3,attend
A00207,4,NotAttend
A00207,5,NotAttend
A00208,1,NotAttend
A00208,2,NotAttend
A00208,3,NotAttend
A00208,4,NotAttend
A00208,5,NotAttend
A00209,1,NotAttend
A00209,2,NotAttend
A00209,3,NotAttend
A00209,4,NotAttend
A00209,5,NotAttend
A00210,1,attend
A00210,2,NotAttend
A00210,3,NotAttend
A00210,4,NotAttend
A00210,5,attend
A00211,1,NotAttend
A00211,2,NotAttend
A00211,3,attend
A00211,4,attend
A00211,5,attend
A00212,1,NotAttend
A00212,2,NotAttend
A00212,3,NotAttend
A00212,4,NotAttend
A00212,5,NotAttend
A00213,1,NotAttend
A00213,2,NotAttend
A00213,3,NotAttend
A00213,4,attend
A00213,5,attend
A00214,1,NotAttend
A00214,2,attend
A00214,3,NotAttend
A00214,4,NotAttend
A00214,5,NotAttend
A00215,1,NotAttend
A00215,2,attend
A00215,3,NotAttend
A00215,4,NotAttend
A00215,5,NotAttend
A00216,1,NotAttend
A00216,2,NotAttend
A00216,3,NotAttend
A00216,4,NotAttend
A00216,5,attend
A00217,1,attend
A00217,2,NotAttend
A00217,3,NotAttend
A00217,4,NotAttend
A00217,5,NotAttend
A00218,1,NotAttend
A00218,2,NotAttend
A00218,3,NotAttend
A00218,4,NotAttend
A00218,5,NotAttend
A00219,1,NotAttend
A00219,2,NotAttend
A00219,3,NotAttend
A00219,4,NotAttend
A00219,5,NotAttend
A00220,1,NotAttend
A00220,2,NotAttend
A00220,3,attend
A00220,4,NotAttend
A00220,5,attend
A00221,1,NotAttend
A00221,2,attend
A00221,3,attend
A00221,4,NotAttend
A00221,5,NotAttend
A00222,1,NotAttend
A00222,2,NotAttend
A00222,3,NotAttend
A00222,4,NotAttend
A00222,5,NotAttend
A00223,1,NotAttend
A00223,2,NotAttend
A00223,3,attend
A00223,4,attend
A00223,5,NotAttend
A00224,1,NotAttend
A00224,2,NotAttend
A00224,3,NotAttend
A00224,4,NotAttend
A00224,5,NotAttend
A00225,1,NotAttend
A00225,2,NotAttend
A00225,3,NotAttend
A00225,4,NotAttend
A00225,5,NotAttend
A00226,1,NotAttend
A00226,2,NotAttend
A00226,3,attend
A00226,4,NotAttend
A00226,5,NotAttend
A00227,1,NotAttend
A00227,2,NotAttend
A00227,3,NotAttend
A00227,4,NotAttend
A00227,5,NotAttend
A00228,1,NotAttend
A00228,2,NotAttend
A00228,3,NotAttend
A00228,4,NotAttend
A00228,5,NotAttend
A00229,1,NotAttend
A00229,2,NotAttend
A00229,3,NotAttend
A00229,4,NotAttend
A00229,5,NotAttend
A00230,1,NotAttend
A00230,2,attend
A00230,3,NotAttend
A00230,4,NotAttend
A00230,5,NotAttend
A00231,1,NotAttend
A00231,2,NotAttend
A00231,3,NotAttend
A00231,4,NotAttend
A00231,5,NotAttend
A00232,1,NotAttend
A00232,2,NotAttend
A00232,3,NotAttend
A00232,4,NotAttend
A00232,5,NotAttend
A00233,1,NotAttend
A00233,2,NotAttend
A00233,3,NotAttend
A00233,4,NotAttend
A00233,5,NotAttend
A00234,1,NotAttend
A00234,2,NotAttend
A00234,3,NotAttend
A00234,4,NotAttend
A00234,5,NotAttend
A00235,1,NotAttend
A00235,2,NotAttend
A00235,3,NotAttend
A00235,4,NotAttend
A00235,5,attend
A00236,1,NotAttend
A00236,2,NotAttend
A00236,3,NotAttend
A00236,4,NotAttend
A00236,5,NotAttend
A00237,1,NotAttend
A00237,2,NotAttend
A00237,3,NotAttend
A00237,4,NotAttend
A00237,5,NotAttend
A00238,1,NotAttend
A00238,2,NotAttend
A00238,3,NotAttend
A00238,4,NotAttend
A00238,5,NotAttend
A00239,1,NotAttend
A00239,2,NotAttend
A00239,3,NotAttend
A00239,4,NotAttend
A00239,5,attend
A00240,1,NotAttend
A00240,2,NotAttend
A00240,3,NotAttend
A00240,4,NotAttend
A00240,5,attend
A00241,1,attend
A00241,2,NotAttend
A00241,3,NotAttend
A00241,4,NotAttend
A00241,5,NotAttend
A00242,1,NotAttend
A00242,2,attend
A00242,3,NotAttend
A00242,4,attend
